idx,image,sequence,view,sky_frac_top15
0,9999969_00000_d_0000002.jpg,9999969,nadir,0.14
1,0000261_00401_d_0000121.jpg,0000261,steep_oblique,0.42
2,0000134_01332_d_0000146.jpg,0000134,oblique_horizon,0.59
3,9999982_00000_d_0000053.jpg,9999982,nadir,0.25
4,9999942_00000_d_0000215.jpg,9999942,nadir,0.01
5,9999942_00000_d_0000007.jpg,9999942,nadir,0.11
6,9999937_00000_d_0000150.jpg,9999937,oblique_horizon,1.00
7,0000303_00801_d_0000187.jpg,0000303,steep_oblique,0.17
8,9999982_00000_d_0000024.jpg,9999982,oblique_horizon,0.97
9,0000252_00499_d_0000002.jpg,0000252,steep_oblique,0.10
10,9999972_00000_d_0000156.jpg,9999972,steep_oblique,0.38
11,9999982_00000_d_0000049.jpg,9999982,nadir,0.36
12,9999998_00211_d_0000168.jpg,9999998,oblique_horizon,0.67
13,9999960_00000_d_0000122.jpg,9999960,nadir,0.02
14,0000226_03627_d_0000013.jpg,0000226,oblique_horizon,0.90
15,9999964_00000_d_0000037.jpg,9999964,steep_oblique,0.14
16,9999953_00000_d_0000115.jpg,9999953,nadir,0.00
17,0000142_01658_d_0000031.jpg,0000142,oblique_horizon,0.47
18,0000141_00251_d_0000009.jpg,0000141,steep_oblique,0.64
19,0000239_02531_d_0000008.jpg,0000239,oblique_horizon,0.78
20,9999937_00000_d_0000111.jpg,9999937,oblique_horizon,1.00
21,9999940_00000_d_0000002.jpg,9999940,oblique_horizon,0.20
22,9999955_00000_d_0000428.jpg,9999955,oblique_horizon,0.00
23,9999965_00000_d_0000010.jpg,9999965,nadir,0.43
24,0000135_01896_d_0000153.jpg,0000135,oblique_horizon,0.99
25,9999962_00000_d_0000026.jpg,9999962,nadir,0.06
26,0000363_00589_d_0000786.jpg,0000363,steep_oblique,0.62
27,9999981_00000_d_0000042.jpg,9999981,nadir,0.39
28,9999970_00000_d_0000028.jpg,9999970,steep_oblique,0.71
29,9999977_00000_d_0000044.jpg,9999977,nadir,0.16
30,9999953_00000_d_0000107.jpg,9999953,nadir,0.01
31,9999937_00000_d_0000132.jpg,9999937,steep_oblique,0.27
32,9999955_00000_d_0000066.jpg,9999955,nadir,0.15
33,9999964_00000_d_0000026.jpg,9999964,steep_oblique,0.10
34,9999942_00000_d_0000242.jpg,9999942,nadir,0.18
35,9999985_00000_d_0000061.jpg,9999985,steep_oblique,0.18
36,9999998_00032_d_0000025.jpg,9999998,nadir,0.04
37,0000056_00727_d_0000111.jpg,0000056,nadir,0.03
38,9999982_00000_d_0000166.jpg,9999982,nadir,0.34
39,9999985_00000_d_0000033.jpg,9999985,nadir,0.14
40,0000325_05801_d_0000691.jpg,0000325,nadir,0.53
41,9999977_00000_d_0000020.jpg,9999977,nadir,0.47
42,9999953_00000_d_0000117.jpg,9999953,nadir,0.01
43,9999950_00000_d_0000023.jpg,9999950,steep_oblique,0.00
44,0000325_00201_d_0000663.jpg,0000325,nadir,0.48
45,9999937_00000_d_0000096.jpg,9999937,oblique_horizon,1.00
46,9999999_00558_d_0000251.jpg,9999999,nadir,0.00
47,9999982_00000_d_0000190.jpg,9999982,steep_oblique,0.22
48,9999950_00000_d_0000006.jpg,9999950,nadir,0.01
49,0000239_01172_d_0000004.jpg,0000239,nadir,0.28
50,9999951_00000_d_0000194.jpg,9999951,nadir,0.07
51,0000239_12115_d_0000031.jpg,0000239,oblique_horizon,0.96
52,9999951_00000_d_0000058.jpg,9999951,steep_oblique,0.01
53,9999994_00000_d_0000040.jpg,9999994,oblique_horizon,0.23
54,9999950_00000_d_0000040.jpg,9999950,nadir,0.01
55,9999965_00000_d_0000021.jpg,9999965,nadir,0.22
56,9999942_00000_d_0000144.jpg,9999942,nadir,0.01
57,9999985_00000_d_0000038.jpg,9999985,nadir,0.31
58,0000165_06125_d_0000114.jpg,0000165,steep_oblique,0.86
59,9999981_00000_d_0000142.jpg,9999981,nadir,0.04
60,9999955_00000_d_0000122.jpg,9999955,nadir,0.18
61,9999960_00000_d_0000072.jpg,9999960,steep_oblique,0.00
62,0000279_00601_d_0000587.jpg,0000279,oblique_horizon,0.61
63,9999999_00811_d_0000371.jpg,9999999,nadir,0.00
64,9999999_00039_d_0000008.jpg,9999999,nadir,0.02
65,9999951_00000_d_0000179.jpg,9999951,nadir,0.13
66,0000224_01513_d_0000006.jpg,0000224,oblique_horizon,0.91
67,9999960_00000_d_0000157.jpg,9999960,steep_oblique,0.01
68,9999943_00000_d_0000040.jpg,9999943,nadir,0.06
69,9999990_00000_d_0000026.jpg,9999990,steep_oblique,0.17
70,9999967_00000_d_0000002.jpg,9999967,steep_oblique,0.30
71,9999966_00000_d_0000056.jpg,9999966,steep_oblique,0.74
72,9999998_00151_d_0000127.jpg,9999998,steep_oblique,0.00
73,9999997_00000_d_0000030.jpg,9999997,oblique_horizon,0.47
74,9999951_00000_d_0000074.jpg,9999951,nadir,0.00
75,9999962_00000_d_0000116.jpg,9999962,nadir,0.08
76,0000352_03137_d_0000555.jpg,0000352,steep_oblique,0.17
77,9999977_00000_d_0000058.jpg,9999977,steep_oblique,0.84
78,0000214_01218_d_0000251.jpg,0000214,steep_oblique,0.67
79,0000169_00001_d_0000001.jpg,0000169,oblique_horizon,0.90
80,9999972_00000_d_0000061.jpg,9999972,steep_oblique,0.21
81,9999937_00000_d_0000199.jpg,9999937,steep_oblique,0.41
82,9999984_00000_d_0000015.jpg,9999984,oblique_horizon,0.52
83,9999943_00000_d_0000024.jpg,9999943,nadir,0.03
84,0000225_00460_d_0000002.jpg,0000225,nadir,0.33
85,9999994_00000_d_0000104.jpg,9999994,oblique_horizon,0.64
86,9999998_00006_d_0000005.jpg,9999998,nadir,0.45
87,0000251_00155_d_0000002.jpg,0000251,oblique_horizon,0.22
88,9999955_00000_d_0000085.jpg,9999955,steep_oblique,0.10
89,9999967_00000_d_0000051.jpg,9999967,nadir,0.10
90,9999990_00000_d_0000062.jpg,9999990,nadir,0.05
91,9999951_00000_d_0000091.jpg,9999951,nadir,0.02
92,0000329_06801_d_0000799.jpg,0000329,steep_oblique,0.14
93,9999951_00000_d_0000128.jpg,9999951,nadir,0.19
94,9999951_00000_d_0000027.jpg,9999951,nadir,0.07
95,9999937_00000_d_0000034.jpg,9999937,steep_oblique,0.56
96,9999972_00000_d_0000121.jpg,9999972,steep_oblique,0.17
97,9999942_00000_d_0000155.jpg,9999942,nadir,0.02
98,9999977_00000_d_0000052.jpg,9999977,nadir,0.10
